"RaumKategorie","RaumSort","RaumLang","StichtagDatJahr","AnzBestWir","FlaecheT","FlaecheL","FlaecheS","DichteT","DichteL","DichteS"
"Gesamte Stadt",0,"Ganze Stadt",2009,382906,9188.1,6526.2,3759.6,41.7,58.7,101.8
"Gesamte Stadt",0,"Ganze Stadt",2010,385468,9188.1,6522.4,3756.2,42,59.1,102.6
"Gesamte Stadt",0,"Ganze Stadt",2011,390082,9188.1,6521.9,3759.6,42.5,59.8,103.8
"Gesamte Stadt",0,"Ganze Stadt",2012,394012,9188.1,6523.5,3770.1,42.9,60.4,104.5
"Gesamte Stadt",0,"Ganze Stadt",2013,398575,9188.1,6521.5,3770.7,43.4,61.1,105.7
"Gesamte Stadt",0,"Ganze Stadt",2014,404783,9188.1,6521.9,3776.7,44.1,62.1,107.2
"Gesamte Stadt",0,"Ganze Stadt",2015,410404,9188.1,6513.9,3783.7,44.7,63,108.5
"Gesamte Stadt",0,"Ganze Stadt",2016,415682,9188.1,6499.6,3799.1,45.2,64,109.4
"Gesamte Stadt",0,"Ganze Stadt",2017,423310,9188.1,6490.8,3804.9,46.1,65.2,111.3
"Gesamte Stadt",0,"Ganze Stadt",2018,428737,9188.1,6491.9,3812.1,46.7,66,112.5
"Gesamte Stadt",0,"Ganze Stadt",2019,434008,9189.1,6493,3806.7,47.2,66.8,114
"Gesamte Stadt",0,"Ganze Stadt",2020,434736,9188.1,6492.6,3802.7,47.3,67,114.3
"Gesamte Stadt",0,"Ganze Stadt",2021,436332,9188.1,6492.9,3798.6,47.5,67.2,114.9
"Gesamte Stadt",0,"Ganze Stadt",2022,443037,9188.1,6492.9,3796.4,48.2,68.2,116.7
"Stadtkreis",10,"Kreis 1",2009,5576,180,155.8,88,31,35.8,63.4
"Stadtkreis",10,"Kreis 1",2010,5563,180,155.8,88.6,30.9,35.7,62.8
"Stadtkreis",10,"Kreis 1",2011,5550,197.2,171.3,95.5,28.1,32.4,58.1
"Stadtkreis",10,"Kreis 1",2012,5571,180,155.4,90.1,30.9,35.8,61.8
"Stadtkreis",10,"Kreis 1",2013,5565,180,155.4,90.2,30.9,35.8,61.7
"Stadtkreis",10,"Kreis 1",2014,5616,180,155.4,89.9,31.2,36.1,62.5
"Stadtkreis",10,"Kreis 1",2015,5617,180,154.9,89.3,31.2,36.3,62.9
"Stadtkreis",10,"Kreis 1",2016,5648,180,154.9,86.9,31.4,36.5,65
"Stadtkreis",10,"Kreis 1",2017,5728,180,154.9,87,31.8,37,65.9
"Stadtkreis",10,"Kreis 1",2018,5750,180,154.9,87,31.9,37.1,66.1
"Stadtkreis",10,"Kreis 1",2019,5791,180,154.9,87,32.2,37.4,66.6
"Stadtkreis",10,"Kreis 1",2020,5831,180,154.9,87,32.4,37.6,67
"Stadtkreis",10,"Kreis 1",2021,5817,180,154.9,87,32.3,37.5,66.9
"Stadtkreis",10,"Kreis 1",2022,5860,180,154.9,87,32.6,37.8,67.4
"Stadtkreis",20,"Kreis 2",2009,29809,1106.6,685.6,363.5,26.9,43.5,82
"Stadtkreis",20,"Kreis 2",2010,29878,1106.6,682.8,362.3,27,43.8,82.5
"Stadtkreis",20,"Kreis 2",2011,30079,1045.1,675,352.9,28.8,44.6,85.2
"Stadtkreis",20,"Kreis 2",2012,30085,1106.6,682.8,363.3,27.2,44.1,82.8
"Stadtkreis",20,"Kreis 2",2013,30503,1106.6,682.6,363,27.6,44.7,84
"Stadtkreis",20,"Kreis 2",2014,31156,1106.6,682.7,363.1,28.2,45.6,85.8
"Stadtkreis",20,"Kreis 2",2015,31603,1106.6,682.3,364.2,28.6,46.3,86.8
"Stadtkreis",20,"Kreis 2",2016,32162,1106.6,679.4,361.1,29.1,47.3,89.1
"Stadtkreis",20,"Kreis 2",2017,33593,1106.6,679,360.6,30.4,49.5,93.2
"Stadtkreis",20,"Kreis 2",2018,34877,1106.6,676,359.4,31.5,51.6,97
"Stadtkreis",20,"Kreis 2",2019,35035,1106.6,676,357.9,31.7,51.8,97.9
"Stadtkreis",20,"Kreis 2",2020,35552,1106.6,676,356.4,32.1,52.6,99.7
"Stadtkreis",20,"Kreis 2",2021,36025,1106.6,675.9,356.5,32.6,53.3,101.1
"Stadtkreis",20,"Kreis 2",2022,37049,1106.6,675.9,355.9,33.5,54.8,104.1
"Stadtkreis",30,"Kreis 3",2009,46971,865.1,585.6,341.9,54.3,80.2,137.4
